AgencyName,NetBalance,Year
Enhancerz Communications (Pvt) Ltd,2535773.3324,10/27/2022 12:51:46 PM
EPPL (Temp),301406.3310,9/30/2019 12:00:00 AM
Evernew Concepts (Pvt.) Ltd.,18814188.3992,2/28/2018 12:00:00 AM
Evernew Concepts (Pvt.) Ltd.,18814188.3992,2/28/2018 12:00:00 AM
Evernew Concepts (Pvt.) Ltd.,18814188.3992,2/28/2018 12:00:00 AM
Evolution Media Network,0.0000,7/24/2020 4:33:55 PM
Express Publications (Pvt.) Ltd.,549118.3617,11/29/2017 11:39:49 AM
Exuberance Advertising (SMC - Pvt.) Limited,8484000.0000,10/13/2022 1:57:45 PM
Ezee Express,0.1978,6/30/2020 12:00:00 AM
Fast Media Group,-100098.6354,5/23/2018 12:00:00 AM
Fasttrack Communication (Pvt.) Ltd.,1074638.5216,10/18/2022 11:39:13 AM
Fatima Vetetable Oil Mills Pvt. Ltd.,-86858.0000,3/4/2021 12:00:00 AM
Fire Bolt,385571.2683,5/25/2021 12:00:00 AM
Fire Bolt,385571.2683,5/25/2021 12:00:00 AM
Fourays Advertising Pvt Ltd.,29210965.7970,10/31/2022 12:00:00 AM
Fourays Advertising Pvt Ltd.,29210965.7970,10/31/2022 12:00:00 AM
Front Line Communication,-2.0428,6/21/2012 12:00:00 AM
Fruit Market  of Chiniot,-1147.5000,4/30/2014 12:00:00 AM
Future Vision Advertising,372420.7732,8/1/2022 12:00:00 AM
Future Vision Advertising,372420.7732,8/1/2022 12:00:00 AM
G.H Thaver & Co Pvt Ltd,-34272.0004,1/30/2019 12:35:58 PM
Gforce Communications,-18693.5337,1/1/2014 12:00:00 AM
Global Media Edge,-0.2334,10/11/2008 12:00:00 AM
Golden Thoughts,825348.6596,10/31/2022 12:00:00 AM
Government of Pakistan (Temp),-15526516.0000,9/30/2022 1:12:05 PM
Graymatter Communications,2504934.2509,8/31/2018 4:45:02 PM
Graymatter Communications,2504934.2509,8/31/2018 4:45:02 PM
Green Apple Communications,-245077.2283,10/4/2022 4:24:25 PM
GS Communication,0.6518,6/20/2013 12:00:00 AM
