AgencyName,NetBalance,Year
Group M Pakistan (Pvt.) Ltd.,91954695.3278,6/30/2016 12:00:00 AM
GS Communication,0.6518,6/20/2013 12:00:00 AM
Harib Advertising (Pvt.) Ltd.,4525492.2637,6/22/2016 11:49:44 AM
Harper Flux,-529380.6312,8/8/2014 12:00:00 AM
Hawk Advertising & Communications Consultant,259465.2491,7/1/2016 12:00:00 AM
Hayder Ali Communications,640881.5119,5/31/2016 12:00:00 AM
Hi-Point Communications,0.5009,1/31/2011 12:00:00 AM
I Seen On Tv,242269.2858,10/31/2012 12:00:00 AM
Ideas Workshop Communication Solutions,4974370.3825,4/21/2014 12:00:00 AM
Indus Hospital,0.0000,8/30/2011 12:00:00 AM
Inter Link Advertising (Pvt) Ltd,33465853.0571,4/14/2016 12:00:00 AM
Inter Link Advertising (Pvt) Ltd,33465853.0571,4/14/2016 12:00:00 AM
Interflow Communications (Pvt.) Ltd.,34840370.7298,6/30/2016 12:00:00 AM
Interflow Communications (Pvt.) Ltd.,34840370.7298,6/30/2016 12:00:00 AM
Interflow Communications (Pvt.) Ltd.,34840370.7298,6/30/2016 12:00:00 AM
International Advertising (Pvt.) Ltd.,-0.8925,6/28/2016 12:00:00 AM
ISPR (Maalik Promo),496591.8755,4/30/2016 12:00:00 AM
Jaag Welfare Movemnet,-0.3336,1/2/2009 12:00:00 AM
Jahanzaib Advertiser Company,-570.0000,9/30/2010 12:00:00 AM
Jupiter Communications (Pvt) Ltd.,53573.8748,5/31/2011 12:00:00 AM
JWT,0.7414,1/20/2016 3:03:43 PM
JWT Asiatic,3043827.6669,7/1/2016 12:00:00 AM
Karwan-e-Hayat,0.0000,8/30/2011 12:00:00 AM
Kenad (Pvt) Ltd,166008.2450,12/30/2014 12:00:00 AM
Kimco Advertising,344.2014,9/25/2014 12:00:00 AM
Kimco Advertising,344.2014,9/25/2014 12:00:00 AM
Kimco Advertising,344.2014,9/25/2014 12:00:00 AM
Kohinoor One Vista,-257823.9000,8/29/2008 12:07:13 PM
Kun Advertising Agency,136355.0508,2/28/2011 12:00:00 AM
Lakson Investment,9051446.7403,3/31/2013 12:00:00 AM
Linkers Communication (Private) Limited,0.0620,5/18/2016 12:00:00 AM
Lowe & Rauf (Pvt.) Ltd.,-60639.9640,10/3/2015 12:00:00 AM
Lowe & Rauf (Pvt.) Ltd.,-60639.9640,10/3/2015 12:00:00 AM
LRBT,143916.6663,8/24/2013 12:33:41 PM
M & C Saatchi World Services Pakistan Pvt Ltd.,627210.0280,6/22/2016 11:21:43 AM
M Communications (Pvt) Limited,-654499.9218,5/31/2015 12:00:00 AM
M Communications (Pvt) Limited,-654499.9218,5/31/2015 12:00:00 AM
Maan Advertisers,0.0000,11/29/2008 10:53:52 AM
Manhattan Communications (Pvt) Ltd.,10370660.4575,7/1/2016 12:00:00 AM
Manhattan Communications (Pvt) Ltd.,10370660.4575,7/1/2016 12:00:00 AM
Manhattan Communications (Pvt) Ltd.,10370660.4575,7/1/2016 12:00:00 AM
Manhattan International (Pvt.) Ltd.,-110379732.3129,6/30/2016 12:00:00 AM
Manhattan Pakistan Limited,-0.1671,11/6/2008 12:00:00 AM
Manhill Advertising & Marketing (Pvt.) Ltd.,2257521.6610,7/1/2016 12:00:00 AM
Manhill Advertising & Marketing (Pvt.) Ltd.,2257521.6610,7/1/2016 12:00:00 AM
Manhill Advertising & Marketing (Pvt.) Ltd.,2257521.6610,7/1/2016 12:00:00 AM
Marketing & Advertising (Pvt.) Ltd.,-3803.2981,10/21/2015 12:00:00 AM
Marksman Advertising,0.0333,12/24/2008 12:00:00 AM
Mass Advertising (Pvt) Ltd.,9603.6536,2/1/2016 12:00:00 AM
Maxim Advertising (Pvt.) Ltd.,-270000.5448,10/3/2015 12:00:00 AM
Maxim Advertising (Pvt.) Ltd.,-270000.5448,10/3/2015 12:00:00 AM
Maxsell Communications,5249622.4523,6/30/2016 12:00:00 AM
MCM,139342.7092,3/31/2016 12:00:00 AM
MCOM,20428700.0785,6/29/2016 2:06:51 PM
MCOM,20428700.0785,6/29/2016 2:06:51 PM
Media 360 Pvt Ltd.,1384278.0510,7/23/2009 12:00:00 AM
Media Ad,20019.9786,3/31/2016 12:00:00 AM
Media Ad,20019.9786,3/31/2016 12:00:00 AM
Media Axis (Pvt) Ltd,-802026.0247,6/21/2016 10:22:35 AM
Media Dimensions,2619399.3300,1/5/2012 12:20:19 PM
Media Line,-14140.0000,5/17/2013 11:32:50 AM
Media Link Pakistan (Pvt.) Ltd.,-0.5000,5/23/2009 4:30:12 PM
Media Network,17209610.0522,6/30/2016 12:00:00 AM
Media One Communication,1814633.1976,5/21/2016 6:16:46 PM
Media Pulse (Pvt.) Ltd.,12603220.7048,6/30/2016 12:00:00 AM
Media Shop (Pvt.) Ltd.,19847.1129,9/30/2009 12:00:00 AM
Media Vision Marketing (Pvt.) Ltd.,0.0000,3/31/2012 12:00:00 AM
Media Zone,-94500.0000,6/13/2015 12:00:00 AM
Message Communications,4512341.7082,9/30/2014 12:00:00 AM
MG Advertiser,-994.3533,8/27/2012 11:56:38 AM
Midas (Pvt.) Ltd.,-201362.4819,3/31/2016 12:00:00 AM
Midas Communication,27927801.3774,6/18/2016 3:56:09 PM
Midas Communication,27927801.3774,6/18/2016 3:56:09 PM
Midas Communication,27927801.3774,6/18/2016 3:56:09 PM
Midas International Pvt Ltd,240251.3304,6/1/2016 12:00:00 AM
Midas International Pvt Ltd,240251.3304,6/1/2016 12:00:00 AM
Midas International Pvt Ltd,240251.3304,6/1/2016 12:00:00 AM
Mind Communications,-947020.3335,1/15/2016 12:00:00 AM
Mindshare,0.0000,1/16/2012 3:11:52 PM
Mindshare Pakistan (Private) Limited,149403019.3561,7/1/2016 12:00:00 AM
Mindshare Pakistan (Private) Limited,149403019.3561,7/1/2016 12:00:00 AM
Ministry Of Information Govt of Sindh,-0.1527,6/16/2011 12:00:00 AM
MINT Ideas House,336533.4142,9/19/2013 12:00:00 AM
Modem4,25603.2590,3/15/2013 12:00:00 AM
Modem4,25603.2590,3/15/2013 12:00:00 AM
MQM,127716.6657,5/17/2013 11:32:15 AM
