AgencyName,NetBalance,Year,
MINT Ideas House,80128.4142,6/30/2020 0:00,
Modem4,136688.5731,3/18/2022 12:05,
MQM,-0.3343,12/31/2016 0:00,
Munawwar Associates,205319.9898,5/31/2022 0:00,
Mustaqbil Pakistan,-169113.3346,5/16/2013 18:46,
Naqsha Pvt Ltd.,-18183.0022,8/31/2020 0:00,
Natural Foods (Pvt) Limited,0,8/16/2016 11:44,
NYX Advertising (Pvt.) Ltd.,-1.3189,12/31/2016 0:00,
O Experience Pvt Ltd.,635568.3405,3/4/2021 0:00,
OAK Media (Pvt) Ltd,3429909.666,6/30/2022 0:00,
OCLY (Pvt.) Ltd.,0.0732,10/12/2021 0:00,
Ogilvy & Mather (Pvt.) Limited,0,11/18/2020 17:12,
Ogilvy & Mather Pakistan (Pvt.) Limited,8119999.762,6/29/2022 14:17,
Oktopus 360 Media (Pvt) Ltd. (Formarlly Kimco Advertising),154542499.6,6/30/2022 0:00,
Orange Communications,0,6/30/2018 0:00,
Orient Advertising (Pvt.) Ltd.,-29445.8886,7/11/2018 14:40,
Orient Communication (Pvt) Ltd,-1783826.823,5/23/2022 18:25,
Pak Media Com (Pvt.) Ltd.,-313.1869,11/12/2021 17:13,
Pak Media Communications (Pvt.) Ltd.,122345454.4,6/30/2022 0:00,
Paragon International (Pvt.) Ltd,3568997.129,5/31/2022 16:36,
Partnership 3,-67821.4092,6/30/2020 0:00,
PBA LPS & Other Surcharges,-2482667,9/6/2021 0:00,
Perspective Media,6284386.224,6/27/2022 0:00,
Pirana Advertising (Pvt) Ltd,1860967.926,7/30/2021 0:00,
Play One,-166890,11/18/2021 0:00,
Prestige Communications (Pvt.) Ltd.,2224297.601,5/23/2022 0:00,
Prime Aluminium Industries (Pvt) Ltd,0.029,6/12/2009 12:27,
Prime Time,1.75,12/31/2016 0:00,
Print AD Communication,-221492.2104,6/30/2019 0:00,
Printer Port,-293740.2868,6/20/2014 0:00,
Promoters Advertising,495873.4377,11/30/2021 0:00,
Qasim & Ahmed Pvt Ltd,-830762.7498,3/6/2020 0:00,
RAHNUMA, Family Planning Association of Pakistan,144000.1056,6/14/2022 0:00
Rasul Floor Mills (Pvt) Ltd,0.3,8/30/2010 0:00,
Real Time,0,1/23/2015 12:00,
RED Communications,-290.9614,6/30/2020 0:00,
Red Cross Iran,0.2773,10/30/2010 0:00,
Red Ocean Media,39875,9/9/2020 0:00,
Rehman Foundation,0,8/30/2011 0:00,
Repcom Advertising,-0.5748,4/28/2011 0:00,
Revolution Media Pvt Ltd.,12951857.83,6/30/2022 0:00,
RG Blue Communication,6637869.465,5/23/2022 19:07,
Roche Pakistan Limited,0,6/21/2012 0:00,
Roshni Communication,-23694.5551,3/4/2022 0:00,
Ruby Advertising Services,-12455.0115,7/13/2011 16:42,
S.V.Advertising,-0.5577,5/27/2013 0:00,
SACOM Pvt Ltd.,4646218.539,6/29/2022 17:47,
Sajid Enterprises,0.72,4/17/2013 0:00,
San Media,-1217.242,1/31/2015 0:00,
San Media Communication,-920,1/14/2012 0:00,
Sarhad University of Science & Information Technology Peshwar,-0.0045,8/21/2015 11:42,
School of Leadership Foundation,200000.008,3/14/2022 16:52,
Shahoo Je Herbal Pharma,0.5,6/30/2018 0:00,
Shazia Abbasi Consulting,-10.7292,6/30/2018 0:00,
Shoot n Cutt Production,0,2/28/2014 0:00,
Sindh Institute of Urology and Transplantation,0,6/19/2014 0:00,
Siza Food Pvt Ltd,0.1984,6/30/2017 0:00,
Smart Ways Communication Pvt. Ltd.,2266914.001,5/24/2022 16:19,
Sound & Vision Private Limited,8913033.41,6/29/2022 16:54,
Spectrum Communications (Pvt.) Ltd.,-4.6797,5/25/2021 0:00,
Spider 360 Media (Pvt.) Ltd.,15126984.71,3/31/2020 0:00,
Star Com,-0.4348,12/31/2010 0:00,
Star Crest (Pvt.) Ltd.,55273836.44,6/30/2022 0:00,
Super Media Communication Pvt. Ltd.,-0.1921,5/23/2016 0:00,
Synchronize (Pvt.) Ltd.,-2448346.832,9/20/2013 10:10,
Synchronize Media (Pvt.) Ltd.,-1151145.702,8/31/2020 13:23,
Synergy Advertising,54811911.22,6/30/2022 0:00,
T Media,-62335.4295,11/11/2020 0:00,
Taj TV Ltd.,0,6/30/2018 0:00,
Tapal Tea (Pvt) Ltd,0.6696,3/14/2013 0:00,
Tetley Clover Pvt Limited,0.6529,6/30/2017 0:00,
The Brand Ache Communication,80018.7332,1/5/2021 0:00,
The Brand Partnership (Pvt.) Ltd.,146120.2282,10/28/2021 0:00,
The Center Shopping Mall,-0.3008,11/20/2012 14:23,
The Circle Agency Pvt Ltd.,5204967.83,8/10/2020 0:00,
The Circuit (Pvt.) Ltd.,1.998,7/2/2018 17:11,
The Commercial Advertising,-58271.5671,6/13/2017 13:44,
The Kidney Centre,0.3329,6/30/2017 0:00,
The Marketing Karachi,-100000.0001,6/30/2020 0:00,
The Trust Teleshop,-0.564,3/30/2013 15:24,
Think Big,7714,2/28/2022 0:00,
Time & Space Media (Pvt.) Ltd.,72933709.53,6/30/2022 0:00,
Titan Watches,0.214,6/30/2017 0:00,
TNI Communications,37672348,5/31/2022 0:00,
Transworld Advertising (Pvt) Ltd,-0.8224,2/2/2015 0:00,
Transworld Advertising Lahore,-1265,1/23/2009 0:00,
Trends Maker,0,6/30/2018 0:00,
TV Brand,0.0816,3/20/2013 12:07,
TV2 Productions,-0.9998,9/22/2015 17:25,
TWI Technology Engineering Pvt Ltd.,-48000,8/4/2014 0:00,
Unity Advertising & Media,907.0018,4/7/2020 0:00,
Universal Nexus For Interfaith Trust Engagement,0.332,6/30/2019 0:00,
Up-Tick Ventures (Pvt) Ltd,22935078.91,6/30/2022 0:00,
Usman Traders  Sonar Tyre,-19837.086,8/29/2011 0:00,
VAMS,-0.1432,8/24/2009 10:06,
Velocity Marketing & Communication,2415008.903,6/30/2022 15:18,
Vibrant Communications,268559.3332,7/31/2021 0:00,
Vision Unlimited,0.1986,1/20/2009 0:00,
W S Research Centre,-12750,1/31/2012 0:00,
Wahedna Darcy (Pvt.) Ltd.,2.6403,6/30/2020 0:00,
Wings Media (Pvt.) Ltd.,9518011.749,6/30/2022 15:14,
World Call,-0.3353,6/13/2017 13:48,
X Nine Communication (Pvt) Ltd,1.0253,6/30/2018 0:00,
X2O Pvt. Ltd.,15704639.49,6/30/2022 0:00,
Xander Communication Pvt Ltd.,16676333.33,6/14/2022 13:02,
Z2C Pakistan (Pvt) Ltd,41401598.74,6/30/2022 17:14,
Zara International,-8.222,7/2/2014 0:00,
Zenith Advertising Communication (Pvt.) Ltd.,6.6679,6/30/2022 0:00,
Brainchild Communications Pakistan (Pvt) Ltd,316441247.6,6/30/2020 0:00,
Group M Pakistan (Pvt.) Ltd.,255295306.6,6/30/2020 0:00,
Blitz Advertising (Pvt.) Ltd. DDB,105714912,6/30/2020 0:00,
Mindshare Pakistan (Private) Limited,359874928.7,6/30/2020 0:00,
